Timestamp,Ax,Ay,Az,P,LPFRMSAcc,LPFPValue,Value,Detection,Type
63.32,0.810885072,3.91324544,8.906270027,990.6940308,9.86696272,990.7347173,0,0,
63.36,0.889751911,4.032409191,9.060137749,990.7419434,9.866287362,990.7344709,0,0,
63.4,0.767994642,3.972823858,8.937054634,990.739502,9.865489443,990.7342709,0,0,
63.44,0.662844062,3.825060844,8.816328049,990.7242432,9.863948071,990.7340577,0,0,
63.48,0.787123919,3.887026072,8.380763054,990.7571411,9.860454271,990.7339519,0,0,
63.52,0.763230085,3.894175768,9.382090569,990.7698364,9.858541964,990.7339872,0,0,
63.56,0.629400611,3.724962473,9.583302498,990.7368164,9.858445194,990.7340281,0,0,
63.6,0.834937215,4.039555073,9.064886093,990.7015991,9.858722695,990.733947,0,0,
63.64,0.935318232,4.337464809,8.411538124,990.6940308,9.857712922,990.7337313,0,0,
63.68,0.584007621,3.994272947,8.89444828,990.7243652,9.856496365,990.7335065,0,0,
63.72,0.371311426,3.732111931,8.863675117,990.7142944,9.854586274,990.7332383,0,0,
63.76,0.368926585,3.431819201,9.102763176,990.7317505,9.852468661,990.7329954,0,0,
63.8,0.180129379,3.274522543,9.190350533,990.7167358,9.850257248,990.7327219,0,0,
63.84,0.282900214,3.70351243,8.922856331,990.739502,9.847636533,990.7325042,0,0,
63.88,0.189699113,3.269755602,10.52545357,990.7723999,9.849553141,990.732455,0,0,
63.92,0.423914552,3.176807642,10.40472603,990.7318726,9.854982016,990.732409,0,0,
63.96,0.416749954,3.193490744,9.718237877,990.7268677,9.861157755,990.7323479,0,0,
64,0.070219189,2.955162287,8.934695244,990.6990967,9.864994022,990.7321739,0,0,
64.04,0.024816096,2.888430834,8.953633308,990.7142944,9.866738705,990.7319552,0,0,
64.08,0.094128311,2.902729988,9.114602089,990.7193604,9.867198079,990.7317163,0,0,
64.12,0.177779973,3.026660681,9.126440048,990.7268677,9.866702796,990.7314872,0,0,
64.16,0.18734464,3.052876234,9.095665932,990.6940308,9.865291207,990.7311495,0,0,
64.2,0.237537622,3.341253042,8.738219261,990.6940308,9.862218579,990.7307171,0,0,
64.24,0.036790907,3.226855278,9.000979424,990.7571411,9.858422764,990.7304297,0,0,
64.28,-0.001442432,3.119607687,9.673264503,990.7747192,9.856168343,990.7303347,0,0,
64.28,-0.001442432,3.119607687,9.673264503,990.7193604,9.856168343,990.7302108,0,0,
64.36,0.051207721,3.121989489,9.517036438,990.7368164,9.855136715,990.7301247,0,0,
64.36,0.051207721,3.121989489,9.517036438,990.7243652,9.855136715,990.7300275,0,0,
64.44,0.283035755,3.210170507,9.498099327,990.7116089,9.855609932,990.7298748,0,0,
64.48,0.4455567,3.214936733,9.24954319,990.734314,9.855836753,990.7297554,0,0,
